epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2003.9,1.12828,1.21186,1.22133,0.71336,0.74823,0.76065,0.50881,1.17961,1.04468,1.20923,0.0006338,0.0006338,0.0006338
71,2032.34,1.14226,1.21201,1.22674,0.7196,0.785,0.77282,0.53114,1.12499,0.99419,1.18435,0.000614,0.000614,0.000614
72,2060.79,1.10174,1.13944,1.19465,0.71406,0.79323,0.75764,0.51238,1.12947,0.99233,1.17902,0.0005942,0.0005942,0.0005942
73,2089.3,1.14161,1.24366,1.21643,0.72082,0.76601,0.74672,0.50367,1.16087,1.05212,1.20367,0.0005744,0.0005744,0.0005744
74,2117.75,1.08925,1.15668,1.18618,0.69701,0.78039,0.72694,0.48183,1.15378,1.08541,1.209,0.0005546,0.0005546,0.0005546
75,2146.28,1.12229,1.22047,1.22188,0.76662,0.76862,0.76769,0.52397,1.11842,1.03178,1.18556,0.0005348,0.0005348,0.0005348
76,2174.81,1.08406,1.15315,1.19274,0.762,0.76471,0.77748,0.53647,1.10009,0.98464,1.17693,0.000515,0.000515,0.000515
77,2203.29,1.10803,1.17764,1.19767,0.65495,0.83864,0.70803,0.47767,1.10804,1.02106,1.17179,0.0004952,0.0004952,0.0004952
78,2231.82,1.05991,1.1392,1.1864,0.67794,0.83137,0.73396,0.49228,1.13378,1.0593,1.19492,0.0004754,0.0004754,0.0004754
79,2260.37,1.08372,1.13806,1.19004,0.70985,0.78672,0.74206,0.50217,1.11517,1.01971,1.19309,0.0004556,0.0004556,0.0004556
80,2288.81,1.02906,1.07115,1.1525,0.7335,0.78039,0.75924,0.51254,1.14486,1.01501,1.20133,0.0004358,0.0004358,0.0004358
81,2317.44,1.05534,1.13828,1.18053,0.74653,0.75033,0.75173,0.50688,1.14117,1.04927,1.18772,0.000416,0.000416,0.000416
82,2345.99,1.03224,1.11433,1.1582,0.75989,0.74118,0.76953,0.5373,1.10711,1.02582,1.17154,0.0003962,0.0003962,0.0003962
83,2374.52,1.00847,1.07527,1.14697,0.69728,0.81297,0.74889,0.5176,1.10763,1.00212,1.17748,0.0003764,0.0003764,0.0003764
84,2403.07,1.03496,1.09849,1.16656,0.73637,0.7817,0.768,0.52266,1.11083,0.9922,1.17779,0.0003566,0.0003566,0.0003566
85,2431.55,0.99708,1.05172,1.1451,0.75774,0.7634,0.7831,0.53809,1.11645,0.98172,1.17655,0.0003368,0.0003368,0.0003368
86,2460.08,1.02204,1.07692,1.16528,0.74265,0.79219,0.78083,0.53649,1.08821,0.9728,1.16,0.000317,0.000317,0.000317
87,2488.56,1.00121,1.0835,1.13705,0.75146,0.78301,0.77467,0.53333,1.11563,0.96955,1.18301,0.0002972,0.0002972,0.0002972
88,2517.11,1.05973,1.13753,1.1876,0.72532,0.8077,0.75961,0.5201,1.09695,0.99458,1.16234,0.0002774,0.0002774,0.0002774
89,2545.61,0.97744,1.02366,1.12722,0.71943,0.80131,0.76223,0.52239,1.10434,0.97716,1.16654,0.0002576,0.0002576,0.0002576
90,2574.13,1.02377,1.1131,1.1637,0.7471,0.77618,0.77759,0.53509,1.1024,1.01695,1.17396,0.0002378,0.0002378,0.0002378
91,2603.4,0.98322,1.10683,1.14068,0.7455,0.76966,0.77491,0.53361,1.09961,0.9951,1.17366,0.000218,0.000218,0.000218
92,2632.11,0.98945,1.08178,1.15944,0.74121,0.77501,0.78214,0.53784,1.11474,0.98269,1.17738,0.0001982,0.0001982,0.0001982
93,2660.59,0.95069,1.05303,1.13531,0.7556,0.77778,0.77581,0.53521,1.10035,1.01304,1.17503,0.0001784,0.0001784,0.0001784
94,2689.13,0.94722,1.02266,1.13049,0.72825,0.79518,0.76214,0.52169,1.09537,0.97311,1.16612,0.0001586,0.0001586,0.0001586
95,2717.56,0.98101,1.12929,1.15905,0.75481,0.77647,0.76107,0.52495,1.0929,0.98832,1.16649,0.0001388,0.0001388,0.0001388
96,2746.07,0.93424,1.01181,1.12248,0.71726,0.81307,0.7694,0.52964,1.08716,0.9672,1.16527,0.000119,0.000119,0.000119
97,2774.56,0.94821,1.04456,1.14394,0.74415,0.787,0.77897,0.53391,1.09788,0.95295,1.16105,9.92e-05,9.92e-05,9.92e-05
98,2803.08,0.94383,1.02036,1.14874,0.7318,0.79869,0.76812,0.52804,1.07605,0.95657,1.1616,7.94e-05,7.94e-05,7.94e-05
99,2831.65,0.90256,0.97525,1.11215,0.74904,0.78562,0.77164,0.53267,1.07707,0.96038,1.15886,5.96e-05,5.96e-05,5.96e-05
100,2860.2,0.9209,1.03312,1.12766,0.75367,0.78824,0.76603,0.53154,1.07997,0.96578,1.16163,3.98e-05,3.98e-05,3.98e-05
